frame,name,role,notes
meteorGrey_big1,meteor_grey_big1,meteor,"Grey meteor big, 101x84"
meteorGrey_big2,meteor_grey_big2,meteor,"Grey meteor big, 120x98"
meteorGrey_big3,meteor_grey_big3,meteor,"Grey meteor big, 89x82"
meteorGrey_big4,meteor_grey_big4,meteor,"Grey meteor big, 98x96"
meteorGrey_med1,meteor_grey_med1,meteor,"Grey meteor medium, 43x43"
meteorGrey_med2,meteor_grey_med2,meteor,"Grey meteor medium, 45x40"
meteorGrey_small1,meteor_grey_small1,meteor,"Grey meteor small, 28x28"
meteorGrey_small2,meteor_grey_small2,meteor,"Grey meteor small, 29x26"
meteorGrey_tiny1,meteor_grey_tiny1,meteor,"Grey meteor tiny, 18x18"
meteorGrey_tiny2,meteor_grey_tiny2,meteor,"Grey meteor tiny, 16x15"
# Power-ups (4 colors x 4 types)
powerupBlue,powerup_blue_plain,powerup,"Blue powerup, 34x33"
powerupBlue_bolt,powerup_blue_bolt,powerup,"Blue bolt powerup - rapid fire"
powerupBlue_shield,powerup_blue_shield,powerup,"Blue shield powerup - shield"
powerupBlue_star,powerup_blue_star,powerup,"Blue star powerup"
powerupGreen,powerup_green_plain,powerup,"Green powerup, 34x33"
powerupGreen_bolt,powerup_green_bolt,powerup,"Green bolt powerup - rapid fire"
powerupGreen_shield,powerup_green_shield,powerup,"Green shield powerup - shield"
powerupGreen_star,powerup_green_star,powerup,"Green star powerup"
powerupRed,powerup_red_plain,powerup,"Red powerup"
powerupRed_bolt,powerup_red_bolt,powerup,"Red bolt powerup"
powerupRed_shield,powerup_red_shield,powerup,"Red shield powerup"
powerupRed_star,powerup_red_star,powerup,"Red star powerup"
powerupYellow,powerup_yellow_plain,powerup,"Yellow powerup"
powerupYellow_bolt,powerup_yellow_bolt,powerup,"Yellow bolt powerup"
powerupYellow_shield,powerup_yellow_shield,powerup,"Yellow shield powerup"
powerupYellow_star,powerup_yellow_star,powerup,"Yellow star powerup"
# Fire/engine effects (for thruster animation)
fire00,fire_frame_0,engine_fire,"Thruster flame frame 0, 16x40"
fire01,fire_frame_1,engine_fire,"Thruster flame frame 1, 14x31"
fire02,fire_frame_2,engine_fire,"Thruster flame frame 2, 14x32"
fire03,fire_frame_3,engine_fire,"Thruster flame frame 3, 14x34"
fire08,fire_frame_8,engine_fire,"Thruster flame frame 8, 16x40"
fire09,fire_frame_9,engine_fire,"Thruster flame frame 9, 16x40"
fire10,fire_frame_10,engine_fire,"Thruster flame frame 10, 16x40"
fire18,fire_frame_18,engine_fire,"Thruster flame frame 18, 16x41"
# Engine parts
engine1,engine_small_1,engine,"Engine exhaust, 38x23"
engine2,engine_small_2,engine,"Engine exhaust, 42x28"
engine3,engine_tiny,engine,"Engine exhaust tiny, 27x22"
engine4,engine_medium,engine,"Engine exhaust medium, 49x45"
engine5,engine_wide,engine,"Engine exhaust wide, 44x24"
# Shield effects
shield1,shield_effect_small,shield,"Shield bubble small, 133x108"
shield2,shield_effect_medium,shield,"Shield bubble medium, 143x119"
shield3,shield_effect_large,shield,"Shield bubble large, 144x137"
# UI elements
buttonBlue,button_blue,ui,"Blue button, 222x39"
buttonGreen,button_green,ui,"Green button, 222x39"
buttonRed,button_red,ui,"Red button, 222x39"
buttonYellow,button_yellow,ui,"Yellow button, 222x39"
# Life indicators
playerLife1_blue,life_icon_ship1_blue,ui,"Ship 1 blue life icon, 33x26"
playerLife1_green,life_icon_ship1_green,ui,"Ship 1 green life icon"
playerLife2_blue,life_icon_ship2_blue,ui,"Ship 2 blue life icon, 37x26"
playerLife3_blue,life_icon_ship3_blue,ui,"Ship 3 blue life icon, 32x26"
# Stars (background decorations)
star1,star_small,background,"Small star, 25x24"
star2,star_medium,background,"Medium star, 25x24"
star3,star_large,background,"Large star, 24x24"
# Numerals
numeral0,numeral_0,ui,"Number 0, 19x19"
numeral1,numeral_1,ui,"Number 1, 19x19"
numeral2,numeral_2,ui,"Number 2, 19x19"
numeral3,numeral_3,ui,"Number 3, 19x19"
numeral4,numeral_4,ui,"Number 4, 19x19"
numeral5,numeral_5,ui,"Number 5, 19x19"
numeral6,numeral_6,ui,"Number 6, 19x19"
numeral7,numeral_7,ui,"Number 7, 19x19"
numeral8,numeral_8,ui,"Number 8, 19x19"
numeral9,numeral_9,ui,"Number 9, 19x19"
# Pill pickups (small powerup drops)
pill_blue,pill_blue,pickup,"Blue pill, 22x21"
pill_green,pill_green,pickup,"Green pill, 22x21"
pill_red,pill_red,pickup,"Red pill, 22x21"
pill_yellow,pill_yellow,pickup,"Yellow pill, 22x21"
# Cursor
cursor,cursor,ui,"Mouse cursor, 30x33"
# Award icons
shield_bronze,award_bronze_shield,ui,"Bronze shield award, 30x30"
shield_gold,award_gold_shield,ui,"Gold shield award, 30x30"
shield_silver,award_silver_shield,ui,"Silver shield award, 30x30"
star_bronze,award_bronze_star,ui,"Bronze star award, 31x30"
star_gold,award_gold_star,ui,"Gold star award, 31x30"
star_silver,award_silver_star,ui,"Silver star award, 31x30"
